0,1580
1,1451
2,984
3,1010
4,1477
5,2701
6,985
7,998
8,1472
9,1809
10,978
11,990
12,1474
13,1816
14,1463
15,995
16,1491
17,1818
18,1067
19,938
20,997
21,1487
22,1844
23,1469
24,991
25,994
26,1800
27,984
28,1481
29,982
30,3798
31,2465
32,1657
33,1476
34,1837
35,1465
36,1045
37,996
38,2299
39,995
40,984
41,1494
42,1944
43,1470
44,993
45,1006
46,2312
47,1000
48,1471
49,990
50,2298
51,977
52,1006
53,1465
54,1460
55,981
56,997
57,2948
58,1480
59,980
60,1005
61,3629
62,2535
63,1972
64,969
65,2324
66,998
67,1000
68,1467
69,1832
70,1470
71,980
72,1018
73,977
74,2321
75,998
76,1006
77,1468
78,1823
79,1464
80,997
81,995
82,2298
83,995
84,1464
85,995
86,2290
87,994
88,998
89,1467
90,1508
91,985
92,992
93,5408
94,2139
95,1009
96,992
97,2289
98,1016
99,1477
100,995
101,2304
102,989
103,1001
104,1476
105,1823
106,2307
107,994
108,1011
109,980
110,2324
111,985
112,994
113,1490
114,1934
115,1461
116,1001
117,994
118,2285
119,1001
120,1458
121,995
122,2292
123,987
124,995
125,2485
126,2296
127,995
128,1514
129,1000
130,15695
131,987
132,1486
133,982
134,1001
135,1490
136,989
137,1002
138,1449
139,978
140,1304
141,2556
142,2539
143,1379
144,1454
145,957
146,994
147,1471
148,993
149,1017
150,1460
151,987
152,1474
153,985
154,994
155,1473
156,967
157,985
158,1483
159,972
160,987
161,1522
162,993
163,964
164,1453
165,981
166,991
167,1451
168,979
169,984
170,1472
171,982
172,1465
173,990
174,974
175,1479
176,973
177,983
178,1509
179,980
180,1709
181,1707
182,2517
183,1874
184,982
185,984
186,1458
187,987
188,1465
189,981
190,985
191,1472
192,974
193,989
194,1468
195,974
196,996
197,1464
198,1053
199,975
200,980
201,1466
202,985
203,1523
204,977
205,984
206,1467
207,985
208,981
209,1465
210,983
211,981
212,1470
213,977
214,994
215,1464
216,1445
217,982
218,1450
219,1297
220,2423
221,1621
222,2189
223,993
224,1448
225,986
226,987
227,1460
228,1000
229,980
230,1455
231,986
232,1462
233,981
234,1005
235,972
236,1429
237,978
238,988
239,1467
240,982
241,986
242,1461
243,979
244,987
245,1475
246,974
247,989
248,1457
249,992
250,984
251,1465
252,1522
253,986
254,1456
255,988
256,994
257,1458
258,993
259,1311
260,2417
261,2428
262,1308
263,1482
264,976
265,983
266,1457
267,958
268,986
269,1469
270,1142
271,972
272,1517
273,976
274,977
275,1497
276,941
277,988
278,1459
279,986
280,980
281,1458
282,980
283,990
284,1456
285,984
286,1427
287,970
288,1535
289,981
290,1454
291,985
292,973
293,1453
294,990
295,982
296,1459
297,999
298,982
299,2113
300,2413
301,1734
302,1775
303,993
304,1464
305,991
306,1001
307,982
308,982
309,1465
310,994
311,1460
312,989
313,975
314,1470
315,976
316,988
317,1473
318,988
319,999
320,1454
321,987
322,988
323,1471
324,1504
325,977
326,1462
327,979
328,993
329,1463
330,991
331,993
332,1466
333,984
334,994
335,1463
336,1009
337,933
338,1465
339,1627
340,2418
341,2529
342,1475
343,979
344,1468
345,981
346,986
347,1444
348,982
349,989
350,1453
351,984
352,996
353,1450
354,984
355,1467
356,983
357,990
358,1461
359,978
360,1433
361,972
362,1462
363,977
364,993
365,1453
366,989
367,980
368,1454
369,985
370,1458
371,984
372,987
373,1454
374,990
375,975
376,1477
377,962
378,2029
379,2416
380,1612
381,2197
382,1007
383,1448
384,991
385,3655
386,1463
387,974
388,991
389,1459
390,988
391,978
392,1454
393,977
394,992
395,1449
396,993
397,974
398,1467
399,976
400,988
401,1468
402,981
403,984
404,1462
405,980
406,994
407,1463
408,995
409,983
410,1777
411,1630
412,2425
413,2119
414,1464
415,982
416,1457
417,983
418,1455
419,978
420,985
421,1455
422,983
423,979
424,1469
425,981
426,1004
427,1446
428,985
429,976
430,1456
431,991
432,1112
433,978
434,1459
435,979
436,1004
437,1455
438,983
439,1465
440,977
441,985
442,1463
443,977
444,994
445,1463
446,970
447,984
448,1471
449,979
450,1670
451,2409
452,1620
453,1788
454,983
455,1473
456,976
457,986
458,1461
459,990
460,991
461,1458
462,991
463,980
464,1461
465,991
466,973
467,1459
468,1629
469,1445
470,972
471,981
472,1467
473,972
474,983
475,1456
476,981
477,986
478,1453
479,979
480,981
481,1453
482,990
483,967
484,1460
485,976
486,1002
487,978
488,1465
489,975
490,1628
491,2414
492,2427
493,977
494,1472
495,978
496,991
497,1470
498,979
499,994
500,1459
501,986
502,977
503,1459
504,1649
505,1513
506,974
507,987
508,1473
509,987
510,1001
511,1466
512,978
513,995
514,1463
515,983
516,999
517,1465
518,974
519,991
520,1475
521,984
522,992
523,981
524,1465
525,988
526,998
527,1459
528,974
529,993
530,2466
531,2430
532,1623
533,1461
534,993
535,989
536,1466
537,987
538,1474
539,978
540,1471
541,985
542,1455
543,1007
544,1424
545,981
546,985
547,1465
548,980
